City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Alice Springs,AU,84.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
12,Bitung,ID,89.6,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
13,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
16,Hithadhoo,MV,83.88,overcast clouds,-0.6,73.08,Scoop Guest House
21,Tomatlan,MX,75.07,broken clouds,19.93,-105.25,Norma franco
22,Grand Gaube,MU,80.01,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
24,Inhambane,MZ,82.4,scattered clouds,-23.86,35.38,Oceano
30,Along,IN,85.44,few clouds,28.17,94.77,Hotel West
35,Rikitea,PF,75.36,light rain,-23.12,-134.97,Pension Maro'i
36,Mahebourg,MU,80.6,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
45,Butaritari,KI,81.45,broken clouds,3.07,172.79,Isles Sunset Lodge
50,Port Alfred,ZA,77.36,clear sky,-33.59,26.89,The Halyards Hotel
52,Yorosso,ML,78.89,scattered clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
53,Georgetown,MY,89.6,few clouds,5.41,100.34,Cititel Penang
54,Bredasdorp,ZA,75.2,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
55,Ajdabiya,LY,75.79,clear sky,30.76,20.23,الحاج سليمان الشترة
57,Magaria,NE,83.75,clear sky,13.0,8.91,Chez Honorable Chapiou
60,Victoria,HK,80.01,scattered clouds,22.29,114.16,Mini Hotel Central
71,Benin,BJ,79.88,scattered clouds,9.5,2.25,
72,Latur,IN,81.86,broken clouds,18.4,76.58,STARiHOTELS Tapdiya Market Latur
76,Souillac,MU,80.6,few clouds,-20.52,57.52,Bils' Villa
78,Akhnur,IN,78.8,haze,32.87,74.73,
79,Adrar,MR,80.74,clear sky,20.5,-10.07,
84,Cayenne,GF,75.2,mist,4.93,-52.33,Hôtel Le Dronmi
85,Nishihara,JP,80.6,few clouds,26.18,127.76,Minshuku Agaihama
90,Lorengau,PG,81.86,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
94,Kaoma,ZM,89.11,clear sky,-14.78,24.8,KAOMA AIRPORT
98,Teshie,GH,80.6,few clouds,5.58,-0.11,ANAIVEH SERVICES
106,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
111,Saint Marys,US,77.0,scattered clouds,30.73,-81.55,Spencer House Inn
118,Taoudenni,ML,86.41,clear sky,22.68,-3.98,
119,Acapulco,MX,79.9,moderate rain,16.86,-99.89,HS Hotsson Smart Acapulco
120,Harper,LR,79.54,light rain,4.38,-7.72,Screensaver
122,Buala,SB,81.64,light rain,-8.14,159.59,Maringe Lagoon Lodge
123,Kazerun,IR,81.72,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
125,Carnarvon,AU,78.8,clear sky,-24.87,113.63,Hospitality Carnarvon
127,Sassandra,CI,78.03,light rain,4.95,-6.08,la terrasse
128,Ixtapa,MX,81.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
129,Dingle,PH,83.12,light rain,11.0,122.67,Camp Pasica
131,Andros Town,BS,78.8,few clouds,24.7,-77.77,Hanks place
134,Tabou,CI,78.62,moderate rain,4.42,-7.35,hotêl doufoulougou
139,Saint-Philippe,RE,80.6,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
146,Poya,NC,76.21,overcast clouds,-21.35,165.15,
147,Koumac,NC,76.05,overcast clouds,-20.57,164.28,Le Monitel
159,Bengkulu,ID,83.3,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
