City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,48.0,77,100,3.0,overcast clouds
1,Punta Arenas,CL,-53.15,-70.92,39.2,72,20,20.8,few clouds
2,Waitati,NZ,-45.75,170.57,51.01,80,18,5.99,few clouds
3,Bluff,NZ,-46.6,168.33,48.99,80,0,5.99,clear sky
4,Qaanaaq,GL,77.48,-69.36,8.08,78,31,9.51,scattered clouds
5,Lompoc,US,34.64,-120.46,51.01,87,1,5.41,clear sky
6,Geraldton,AU,-28.77,114.6,73.4,60,0,17.22,clear sky
7,Alice Springs,AU,-23.7,133.88,84.2,9,0,9.17,clear sky
8,Barrow,US,71.29,-156.79,17.6,78,90,12.75,overcast clouds
9,Kapaa,US,22.08,-159.32,69.8,88,40,6.93,scattered clouds
10,Pangody,RU,65.85,74.49,4.6,93,0,8.72,clear sky
11,Henties Bay,NA,-22.12,14.28,62.69,72,41,8.43,scattered clouds
12,Bitung,ID,1.45,125.18,89.6,59,40,4.7,scattered clouds
13,Porto Novo,BJ,6.5,2.6,82.4,88,40,4.7,scattered clouds
14,Fortuna,US,40.6,-124.16,42.8,70,1,8.05,clear sky
15,Saint George,US,37.1,-113.58,41.0,13,1,5.82,clear sky
16,Hithadhoo,MV,-0.6,73.08,83.88,65,100,9.22,overcast clouds
17,Oskarshamn,SE,57.26,16.45,48.0,96,100,1.99,overcast clouds
18,Esperance,AU,-33.87,121.9,73.4,56,0,16.11,clear sky
19,Voznesenye,RU,61.01,35.48,47.19,86,100,8.81,overcast clouds
20,Tasiilaq,GL,65.61,-37.64,32.0,91,100,19.46,overcast clouds
21,Tomatlan,MX,19.93,-105.25,75.07,95,55,2.21,broken clouds
22,Grand Gaube,MU,-20.01,57.66,80.01,61,0,8.01,clear sky
23,Lebu,CL,-37.62,-73.65,50.67,86,100,10.78,light rain
24,Inhambane,MZ,-23.86,35.38,82.4,69,40,5.82,scattered clouds
25,Svetlogorsk,BY,52.63,29.73,49.93,73,0,9.69,clear sky
26,Ulety,RU,51.36,112.48,31.57,69,0,8.84,clear sky
27,Kalashnikovo,RU,57.28,35.23,46.76,81,42,11.3,scattered clouds
28,Grindavik,IS,63.84,-22.43,37.4,64,0,28.86,clear sky
29,Tuatapere,NZ,-46.13,167.68,48.99,80,0,5.99,clear sky
30,Along,IN,28.17,94.77,85.44,49,22,0.76,few clouds
31,Vila Franca Do Campo,PT,37.72,-25.43,64.4,88,75,4.7,light intensity drizzle rain
32,Puerto Ayora,EC,-0.74,-90.35,66.99,93,89,1.99,overcast clouds
33,Namie,JP,37.48,141.0,59.0,51,75,6.93,broken clouds
34,Bathurst,AU,-33.42,149.58,55.99,82,55,1.01,light rain
35,Rikitea,PF,-23.12,-134.97,75.36,86,32,19.3,light rain
36,Mahebourg,MU,-20.41,57.7,80.6,54,20,11.41,few clouds
37,Paita,PE,-5.09,-81.11,64.29,88,100,9.71,overcast clouds
38,East London,ZA,-33.02,27.91,73.4,78,20,13.87,few clouds
39,Puyo,EC,-1.47,-77.98,64.9,79,0,3.85,clear sky
40,Dikson,RU,73.51,80.55,8.42,95,90,19.42,overcast clouds
41,Ponta Do Sol,PT,32.67,-17.1,66.2,63,75,9.17,broken clouds
42,Upernavik,GL,72.79,-56.15,17.56,85,6,5.93,clear sky
43,Ushuaia,AR,-54.8,-68.3,41.0,80,20,13.87,few clouds
44,Leningradskiy,RU,69.38,178.42,19.63,91,17,20.83,few clouds
45,Butaritari,KI,3.07,172.79,81.45,68,73,8.79,broken clouds
46,Cape Town,ZA,-33.93,18.42,68.0,68,75,13.87,broken clouds
47,Mataura,NZ,-46.19,168.86,48.99,80,0,5.99,clear sky
48,Colomi,BO,-17.35,-65.87,55.4,93,40,2.1,scattered clouds
49,Hilo,US,19.73,-155.09,73.4,88,90,11.41,moderate rain
50,Port Alfred,ZA,-33.59,26.89,77.36,59,1,16.69,clear sky
51,Aykhal,RU,66.0,111.5,-4.0,83,89,2.24,light snow
52,Yorosso,ML,12.35,-4.78,78.89,23,46,4.94,scattered clouds
53,Georgetown,MY,5.41,100.34,89.6,79,20,6.93,few clouds
54,Bredasdorp,ZA,-34.53,20.04,75.2,57,100,5.82,overcast clouds
55,Ajdabiya,LY,30.76,20.23,75.79,45,0,12.24,clear sky
56,Severo-Kurilsk,RU,50.68,156.12,42.58,87,22,5.73,few clouds
57,Magaria,NE,13.0,8.91,83.75,17,0,10.51,clear sky
58,Terney,RU,45.05,136.61,45.57,72,100,3.44,overcast clouds
59,Kizema,RU,61.11,44.83,35.91,84,100,8.59,overcast clouds
60,Victoria,HK,22.29,114.16,80.01,69,25,16.02,scattered clouds
61,Togur,RU,58.36,82.83,35.55,98,100,7.61,light rain
62,Busselton,AU,-33.65,115.33,66.99,73,99,5.01,overcast clouds
63,Whitehorse,CA,60.72,-135.05,42.8,38,75,13.87,broken clouds
64,New Norfolk,AU,-42.78,147.06,54.0,67,91,1.99,overcast clouds
65,Aksarka,RU,66.56,67.8,5.61,94,19,1.66,few clouds
66,Lagoa,PT,39.05,-27.98,65.44,77,98,16.69,overcast clouds
67,Clyde River,CA,70.47,-68.59,8.37,84,13,4.32,few clouds
68,Anadyr,RU,64.75,177.48,19.4,92,90,8.95,light snow
69,Uchiza,PE,-8.46,-76.46,70.66,74,90,2.59,overcast clouds
70,Pirapora,BR,-17.34,-44.94,71.28,85,100,1.77,overcast clouds
71,Benin,BJ,9.5,2.25,79.88,53,38,1.52,scattered clouds
72,Latur,IN,18.4,76.58,81.86,50,51,6.24,broken clouds
73,Narsaq,GL,60.92,-46.05,32.0,85,2,2.24,clear sky
74,Pevek,RU,69.7,170.31,20.3,94,100,19.82,overcast clouds
75,Hermanus,ZA,-34.42,19.23,71.01,71,100,4.0,overcast clouds
76,Souillac,MU,-20.52,57.52,80.6,54,20,11.41,few clouds
77,Mehamn,NO,71.04,27.85,33.8,80,0,19.46,clear sky
78,Akhnur,IN,32.87,74.73,78.8,36,0,4.7,haze
79,Adrar,MR,20.5,-10.07,80.74,19,0,8.57,clear sky
80,Sabzevar,IR,36.21,57.68,68.0,19,0,11.41,clear sky
81,Airai,TL,-8.93,125.41,69.21,89,87,3.13,moderate rain
82,Lasa,IT,46.62,10.7,48.99,86,40,6.93,scattered clouds
83,Katsuura,JP,35.13,140.3,66.2,68,75,10.29,broken clouds
84,Cayenne,GF,4.93,-52.33,75.2,100,90,7.16,mist
85,Nishihara,JP,26.18,127.76,80.6,54,20,13.87,few clouds
86,Gimbi,ET,9.17,35.83,71.62,64,52,3.74,light rain
87,Iquitos,PE,-3.75,-73.25,73.87,94,80,1.7,broken clouds
88,Waipawa,NZ,-41.41,175.52,50.0,87,100,21.92,overcast clouds
89,Berlevag,NO,70.86,29.09,33.8,80,0,19.46,clear sky
90,Lorengau,PG,-2.02,147.27,81.86,75,18,3.49,few clouds
91,Colares,PT,38.8,-9.45,60.01,93,40,3.36,scattered clouds
92,Ust-Koksa,RU,50.27,85.61,48.79,48,35,5.19,scattered clouds
93,Komsomolskiy,UZ,40.43,71.72,64.4,27,0,2.24,clear sky
94,Kaoma,ZM,-14.78,24.8,89.11,24,0,11.77,clear sky
95,Torva,EE,58.0,25.93,53.6,81,75,16.11,broken clouds
96,Port Elizabeth,ZA,-33.92,25.57,69.8,83,20,9.17,few clouds
97,Arraial Do Cabo,BR,-22.97,-42.03,71.49,88,70,8.19,broken clouds
98,Teshie,GH,5.58,-0.11,80.6,88,20,9.17,few clouds
99,Bud,US,39.45,-86.18,44.01,100,90,3.36,overcast clouds
100,Kautokeino,NO,69.01,23.04,31.77,97,100,11.92,overcast clouds
101,Saskylakh,RU,71.92,114.08,-2.79,90,99,5.7,overcast clouds
102,Sorland,NO,67.67,12.69,48.2,70,0,20.8,clear sky
103,Russell,US,32.35,-85.2,69.8,88,90,4.7,overcast clouds
104,Balkhash,KZ,46.84,74.98,51.8,62,6,24.61,clear sky
105,Ancud,CL,-41.87,-73.82,44.6,75,20,11.41,few clouds
106,Touros,BR,-5.2,-35.46,75.2,88,20,2.24,few clouds
107,Namibe,AO,-15.2,12.15,71.6,78,75,5.03,broken clouds
108,Husavik,IS,66.04,-17.34,35.6,69,90,4.7,overcast clouds
109,Norman Wells,CA,65.28,-126.83,23.0,92,90,3.91,light snow
110,Bethel,US,41.37,-73.41,55.99,100,90,4.52,mist
111,Saint Marys,US,30.73,-81.55,77.0,91,29,1.01,scattered clouds
112,Yellowknife,CA,62.46,-114.35,21.2,79,90,14.99,light snow
113,Hobart,AU,-42.88,147.33,54.0,71,75,9.17,shower rain
114,Avarua,CK,-21.21,-159.78,68.0,88,100,19.46,light rain
115,Hasaki,JP,35.73,140.83,64.4,59,75,6.93,broken clouds
116,Chokurdakh,RU,70.63,147.92,7.02,96,100,7.65,overcast clouds
117,San Cristobal,VE,7.77,-72.22,65.25,91,50,2.35,light rain
118,Taoudenni,ML,22.68,-3.98,86.41,19,0,5.99,clear sky
119,Acapulco,MX,16.86,-99.89,79.9,86,100,7.92,moderate rain
120,Harper,LR,4.38,-7.72,79.54,85,98,5.41,light rain
121,Thompson,CA,55.74,-97.86,21.2,73,75,4.7,broken clouds
122,Buala,SB,-8.14,159.59,81.64,77,85,3.49,light rain
123,Kazerun,IR,29.62,51.65,81.72,14,0,5.79,clear sky
124,Okhotsk,RU,59.38,143.3,31.01,83,0,9.64,clear sky
125,Carnarvon,AU,-24.87,113.63,78.8,65,0,24.16,clear sky
126,Aklavik,CA,68.22,-135.01,12.2,85,75,3.36,light snow
127,Sassandra,CI,4.95,-6.08,78.03,88,100,3.04,light rain
128,Ixtapa,MX,20.7,-105.2,81.0,88,75,2.21,broken clouds
129,Dingle,PH,11.0,122.67,83.12,81,100,5.68,light rain
130,Sitka,US,57.05,-135.33,48.2,76,90,11.41,overcast clouds
131,Andros Town,BS,24.7,-77.77,78.8,88,20,5.82,few clouds
132,Severnyy-Kospashskiy,RU,59.09,57.8,21.99,76,63,3.0,broken clouds
133,Yinchuan,CN,38.47,106.27,49.62,39,100,0.81,overcast clouds
134,Tabou,CI,4.42,-7.35,78.62,88,100,3.6,moderate rain
135,Amapa,BR,1.0,-52.0,70.65,98,1,1.97,clear sky
136,Los Llanos De Aridane,ES,28.66,-17.92,69.8,68,40,8.05,scattered clouds
137,Cooma,AU,-36.23,149.13,51.8,87,75,9.17,broken clouds
138,Pangnirtung,CA,66.15,-65.71,7.75,80,16,6.62,few clouds
139,Saint-Philippe,RE,-21.36,55.77,80.6,65,90,13.87,overcast clouds
140,Vila Velha,BR,-20.33,-40.29,68.0,94,75,2.24,broken clouds
141,Vaini,TO,-21.2,-175.2,71.6,88,40,6.93,scattered clouds
142,Nikolskoye,RU,59.7,30.79,51.8,81,90,8.95,overcast clouds
143,Yugorsk,RU,61.31,63.33,23.16,92,66,9.89,broken clouds
144,Iberia,US,29.95,-91.75,64.4,93,1,3.36,clear sky
145,Zhigansk,RU,66.77,123.37,-1.44,92,84,7.56,broken clouds
146,Poya,NC,-21.35,165.15,76.21,68,97,4.43,overcast clouds
147,Koumac,NC,-20.57,164.28,76.05,73,100,5.61,overcast clouds
148,Julio De Castilhos,BR,-29.23,-53.68,57.11,97,96,8.19,overcast clouds
149,Broome,US,42.25,-75.83,46.0,93,90,5.82,overcast clouds
150,Provideniya,RU,64.38,-173.3,28.92,94,2,5.66,clear sky
151,Pierre,US,44.37,-100.35,8.01,77,1,4.7,clear sky
152,Tres Palos,MX,18.18,-101.62,72.82,91,100,1.95,overcast clouds
153,Kodiak,US,57.79,-152.41,46.4,52,1,20.8,clear sky
154,Lavrentiya,RU,65.58,-171.0,31.15,92,68,2.39,broken clouds
155,Rafraf,TN,37.19,10.18,64.4,63,40,13.87,scattered clouds
156,San Jose,US,37.34,-121.89,53.6,34,1,0.87,clear sky
157,Gravdal,NO,68.12,13.5,48.2,70,0,18.34,clear sky
158,Alofi,NU,-19.06,-169.92,73.4,94,32,12.75,scattered clouds
159,Bengkulu,ID,-3.8,102.27,83.3,66,99,6.2,overcast clouds
160,Ati,TD,13.22,18.34,86.79,17,91,11.79,overcast clouds
161,Zhukovo,RU,55.03,36.74,50.0,81,0,6.71,clear sky
162,Nouadhibou,MR,20.93,-17.03,75.2,53,0,17.22,clear sky
163,Ribeira Grande,PT,38.52,-28.7,66.2,68,40,11.41,scattered clouds
164,Zaykovo,RU,57.56,62.76,28.42,93,100,16.69,overcast clouds
165,Chuy,UY,-33.7,-53.46,58.17,82,100,12.39,overcast clouds
166,Nagato,JP,34.38,131.2,69.8,56,20,4.7,few clouds
167,Abeche,TD,13.83,20.83,87.8,16,0,13.87,clear sky
168,Bataipora,BR,-22.3,-53.27,65.34,98,15,4.21,few clouds
169,Kihei,US,20.79,-156.47,80.6,69,1,3.36,clear sky
170,Orel-Izumrud,RU,43.46,39.92,69.8,37,20,2.24,few clouds
171,Iqaluit,CA,63.75,-68.51,12.2,85,75,5.82,light snow
172,Vardo,NO,70.37,31.11,35.6,85,75,31.09,broken clouds
173,Polis,CY,35.04,32.43,84.2,48,0,12.75,clear sky
174,Jiuquan,CN,39.74,98.52,49.41,38,100,5.93,overcast clouds
175,Izhma,RU,65.01,53.91,24.69,97,100,11.65,snow
176,Opuwo,NA,-18.06,13.84,90.61,20,60,16.08,broken clouds
177,Castro,BR,-24.79,-50.01,61.05,96,55,4.5,broken clouds
178,Ban Nahin,LA,18.24,104.21,88.47,47,100,5.3,overcast clouds
179,Atar,MR,20.52,-13.05,82.42,22,43,12.06,scattered clouds
180,Progreso,MX,21.28,-89.67,79.0,88,90,5.82,overcast clouds
181,Aasiaat,GL,68.71,-52.87,14.52,93,69,6.69,broken clouds
182,Havelock,US,34.88,-76.9,63.0,96,0,3.71,clear sky
183,San Patricio,US,28.02,-97.52,59.0,82,90,16.11,overcast clouds
184,Tiksi,RU,71.69,128.87,3.81,93,74,3.89,broken clouds
185,Guozhen,CN,34.37,107.36,54.09,63,100,4.23,light rain
186,Iwaki,JP,37.05,140.88,64.99,82,100,1.99,overcast clouds
187,Caravelas,BR,-17.71,-39.25,73.53,87,100,3.11,overcast clouds
188,Olafsvik,IS,64.89,-23.71,39.78,69,100,18.77,overcast clouds
189,Guerrero Negro,MX,27.98,-114.06,60.84,34,0,10.36,clear sky
190,Guamuchil,MX,25.47,-108.1,72.0,80,15,1.99,few clouds
191,Teahupoo,PF,-17.83,-149.27,78.8,78,40,10.29,scattered clouds
192,Formosa Do Rio Preto,BR,-11.05,-45.19,72.21,90,100,0.18,light rain
193,Kirakira,SB,-10.45,161.92,80.71,80,99,8.48,moderate rain
194,Morehead,US,37.27,-87.18,51.8,93,90,4.7,overcast clouds
195,Darhan,MN,49.49,105.92,38.86,68,0,4.99,clear sky
196,Nurota,UZ,40.56,65.69,71.6,18,31,9.17,scattered clouds
197,Asyut,EG,27.18,31.18,75.2,73,0,9.17,clear sky
198,Fairbanks,US,64.84,-147.72,26.6,85,90,5.82,light snow
199,Ikongo,MG,-21.88,47.43,86.11,43,2,4.09,light rain
200,Arlit,NE,18.74,7.39,79.2,16,0,4.61,clear sky
201,Yenagoa,NG,4.92,6.26,83.14,79,58,1.14,light rain
202,Alto Araguaia,BR,-17.31,-53.22,69.55,88,100,1.79,overcast clouds
203,Saint Anthony,US,45.02,-93.22,19.99,85,1,3.36,clear sky
204,Marquette,US,46.53,-87.63,21.99,84,50,6.29,scattered clouds
205,Passos,BR,-20.72,-46.61,67.19,76,100,0.22,overcast clouds
206,Sisimiut,GL,66.94,-53.67,19.4,90,25,10.27,scattered clouds
207,Mafinga,TZ,-7.25,35.07,86.2,37,83,4.36,broken clouds
208,Zapolyarnyy,RU,69.42,30.81,35.6,93,75,19.46,broken clouds
209,Magnor,SE,59.95,12.2,45.0,100,91,2.24,overcast clouds
210,Mar Del Plata,AR,-38.0,-57.56,53.01,87,0,5.82,clear sky
211,Ilulissat,GL,69.22,-51.1,21.2,79,100,5.82,overcast clouds
212,Sozimskiy,RU,59.74,52.25,29.64,91,36,4.83,scattered clouds
213,Port Macquarie,AU,-31.43,152.92,66.0,72,100,1.01,overcast clouds
214,Palomares,MX,17.15,-95.07,69.06,93,100,0.87,overcast clouds
215,Andapa,MG,-14.65,49.65,85.24,35,1,4.32,clear sky
216,Livani,LV,56.35,26.18,51.17,83,60,11.07,broken clouds
217,Kichera,RU,55.94,110.1,24.19,82,19,2.86,few clouds
218,Champerico,GT,14.3,-91.92,68.0,97,95,9.31,light rain
219,Phalombe,MW,-15.81,35.65,88.83,34,6,3.44,clear sky
220,Purranque,CL,-40.92,-73.17,41.0,100,88,3.36,mist
221,Luderitz,NA,-26.65,15.16,67.98,51,0,11.36,clear sky
